,VAE_0,VAE_1,VAE_2,VAE_3,VAE_4,VAE_5,VAE_6,VAE_7,VAE_8,VAE_9,cell_type,cluster
Cell_358,-0.043500364,-0.40440094,-0.4568721,-1.758612,-0.17070135,0.052018255,0.07446623,-0.43541852,-1.0418968,2.0863948,Stromal,2
Cell_359,-0.046549857,-1.2305305,-0.4718241,-0.90727305,0.62194914,0.09152967,0.43073973,-0.78683186,0.2337879,2.1597655,Stromal,2
Cell_360,0.9787345,-0.29601932,-0.7421658,-0.4058999,-0.8815073,0.83939195,1.4688174,1.0430846,0.22516304,2.1409154,Stromal,2
Cell_361,1.0267284,-0.6939695,-0.53502595,0.5146109,-2.327369,-0.69421756,-0.6635963,1.5386251,-0.26568794,2.0902357,Stromal,2
Cell_362,0.5696542,-0.11685637,-0.56177276,-0.40931067,-0.1065478,0.4837792,0.33304876,0.7055271,0.6894244,2.2087395,Stromal,2
Cell_363,0.026945055,0.4112492,-0.56910515,-1.2279825,0.5290632,0.068229705,1.2531211,-0.0052094087,1.6838236,2.163316,Stromal,2
Cell_364,0.42566177,-1.9808742,-0.3762402,-0.4165398,1.0698612,0.22164416,1.598375,0.37822914,0.8151319,2.0473752,Stromal,2
Cell_365,0.41522264,1.1935807,-0.61486846,-1.1320121,-3.0326674,-0.053703457,-0.7406169,0.22997892,0.3601812,2.2070248,Stromal,2
Cell_366,0.65695345,2.415026,-0.70288455,0.20460477,-0.044712894,-0.01379101,-0.20020685,2.5865607,1.2843804,2.064315,Stromal,2
Cell_367,1.1642959,-0.13571166,-0.50459445,0.2547642,-1.6197608,0.2516271,-0.43026713,-0.05768442,0.87231815,2.0908225,Stromal,2
Cell_368,0.9568709,-0.21362157,-0.457058,-1.3742352,-0.21703547,0.20935059,0.71869963,-0.62297434,-1.6481991,2.1612227,Stromal,2
Cell_369,0.3978803,1.4503727,-0.5762828,-0.287935,-0.85191166,-0.18232718,-0.34440255,-0.13500135,-1.4879372,2.1050382,Stromal,2
Cell_370,0.0031635165,0.90559894,-0.49269968,-0.9493883,-1.070463,-0.8863546,0.8776118,-1.3219818,0.2459195,2.0401065,Stromal,2
Cell_371,0.05684811,1.3845472,-0.50450736,0.46288636,0.7600813,-0.88052714,-0.13211426,-0.94071496,1.7875924,2.0366547,Stromal,2
Cell_372,-0.05341363,0.8363317,-0.5383064,-1.3324893,-1.3882002,-0.033667058,0.9442312,0.5114899,-0.29462105,2.1249208,Stromal,2
Cell_373,0.969705,0.56749976,-0.60997593,1.8447003,-0.49176306,-1.1570575,0.8038559,-0.021189868,0.29901406,2.1762214,Stromal,2
Cell_374,0.6926763,2.2466815,-0.7943388,0.51783055,-1.571099,-0.91138196,2.7034802,1.1961925,-0.96328616,2.0336168,Stromal,2
Cell_375,0.22098643,0.91266596,-0.603136,-0.121786945,0.50678694,-0.19416322,0.16409716,0.7996553,-0.3899385,2.1496117,Stromal,2
Cell_376,1.2415857,-0.3870752,-0.57244503,0.56399417,-0.8872509,-0.9778133,0.2392908,0.8905711,1.0718995,2.0597153,Stromal,2
Cell_377,1.5571663,0.5138577,-0.7562667,-1.5573381,0.0016575307,-0.8897794,-0.73646194,0.7119204,0.54249525,2.1641686,Stromal,2
Cell_378,0.34141403,0.35325322,-0.67284065,-1.3186165,0.7640833,-0.37374705,0.9893275,1.5875435,0.3884373,2.0243666,Stromal,2
Cell_379,0.46175924,-0.14122538,-0.47823066,-1.4428093,-0.18829693,-1.3237014,0.76193476,-0.9393445,2.0173254,1.9859484,Stromal,2
Cell_380,1.3702983,0.50867563,-0.5538222,0.39163834,-0.08830166,-0.57337165,0.37776843,-0.100034915,-0.40535,2.065193,Stromal,2
Cell_381,0.10850456,-0.7047507,-0.6471658,-0.8558692,-1.0919933,-0.7962382,1.4979963,0.6771818,1.4253259,2.0812645,Stromal,2
Cell_382,1.2317126,-0.5436034,-0.47536424,-1.029115,-0.27139807,0.65015155,0.22421876,-0.431965,0.4906628,2.1033974,Stromal,2
Cell_383,1.3544667,-0.13579926,-0.6753708,-0.07550738,-0.99813396,-0.5724682,2.9322186,-0.65926814,1.1423846,2.0687792,Stromal,2
Cell_384,0.8335292,1.1378388,-0.6770987,0.3753854,-0.7935208,0.24211603,0.3100999,1.0655435,-0.35356295,2.1281574,Stromal,2
Cell_385,0.474544,0.76293933,-0.53484035,1.791878,2.2032585,-0.33475527,1.0928569,-0.070362516,-0.27609187,2.1593418,Stromal,2
Cell_386,1.3727065,1.4211692,-0.583682,-1.1147496,-1.5080546,-0.06699708,-0.2760593,-1.5687567,-0.32338923,2.2006476,Stromal,2
Cell_387,1.4511087,-0.10622656,-0.6071523,-0.60513,-1.8104032,-0.71806455,1.8913012,0.07075688,1.1294388,2.0855882,Stromal,2
Cell_388,0.33872068,0.006199613,-0.5990302,-0.834827,0.67504156,0.13383448,0.9644364,0.27966076,-1.0804987,2.0770307,Stromal,2
Cell_389,0.22790304,0.6443958,-0.78936756,-0.0431698,-0.3877143,-0.5548067,-0.030480415,-0.61238825,0.9417317,2.1869903,Stromal,2
Cell_390,-0.27368832,1.4852332,-0.8326221,0.58714324,-0.4718472,-0.4290232,-0.2224088,1.1340752,-0.086954564,2.0461261,Stromal,2
Cell_391,0.19764319,0.26653886,-0.5408256,-2.8463137,-0.86971724,-0.25812185,-0.29834893,0.54051936,-0.2238209,2.091253,Stromal,2
Cell_392,0.28093123,-0.8505867,-0.6015989,0.101668656,1.7788874,-0.8011246,1.1518629,-1.2500426,1.5849261,2.0957072,Stromal,2
Cell_393,1.7524486,-0.16347425,-0.77364784,-0.02354363,0.44878635,0.3703184,0.8852022,-0.89614874,2.373551,2.1518688,Stromal,2
Cell_394,-0.050315976,-0.7898563,-0.6917592,-1.4780152,0.85264766,-0.81162477,0.53414303,1.220141,0.007904679,2.066069,Stromal,2
Cell_395,0.5420061,-0.4114164,-0.47262096,0.69017917,0.058271542,1.5885464,1.2772917,-1.1910129,-1.8706574,2.085826,Stromal,2
Cell_396,1.5030353,2.2698832,-0.48757792,-0.31975845,0.53655213,-2.1857135,-0.01586464,-1.104726,0.86509144,2.1437728,Stromal,2
Cell_397,1.4420372,0.08768114,-0.73584473,1.0869106,-1.0661228,-1.0920404,1.7099332,0.22463337,0.80395716,1.9988539,Stromal,2
Cell_398,1.2873784,0.7889215,-0.5602858,0.11021522,-0.054680973,-0.48570234,0.981658,0.29341394,0.041157097,2.116109,Stromal,2
Cell_399,1.423012,-0.52253914,-0.6185621,0.111962005,0.95393866,-0.06516139,1.8239653,-0.45533928,0.6834085,2.0719123,Stromal,2
Cell_400,0.035021424,-0.123652846,-0.47721177,-1.2727848,-1.0941813,-0.0752947,-0.22039232,2.0928714,-0.22072652,2.045885,Stromal,2
Cell_401,0.58862567,0.32083297,-0.37920058,-0.37632006,-1.5311916,-0.21345416,1.3349165,0.3498132,1.0498518,2.2093585,Stromal,2
Cell_402,1.1961396,0.67928255,-0.4507693,2.1999831,-0.42587814,0.31851763,0.19228616,-0.38726202,-0.74589777,2.1373959,Stromal,2
Cell_403,-0.3146674,-0.06401187,-0.5794349,0.6696594,0.7081721,-0.7514146,2.3221686,1.0495843,0.26693493,2.2178397,Stromal,2
Cell_404,-1.3055158,0.34939498,-0.5392108,3.3838933,-0.9108025,-0.29490963,0.34891754,0.92907286,0.68241715,2.150463,Stromal,2
Cell_405,0.071020454,-0.011814758,-0.7133385,-0.8752254,0.33737084,-0.6208952,-2.1227324,1.5904199,1.1912892,2.2518146,Stromal,2
Cell_406,0.5103424,0.34671658,-0.41351458,-0.51173025,1.5425578,-1.0416805,1.242047,0.8700461,0.65884954,2.1935196,Stromal,2
Cell_407,-0.009235978,0.4140944,-0.50590754,-0.71714526,-0.8112802,-0.224285,0.9369428,0.23031873,1.1481626,2.1543667,Stromal,2
Cell_408,-1.2712744,0.5312427,-0.73526025,0.19373098,-0.5133827,-0.58814543,-1.1809857,-0.121780775,2.6270223,2.1378958,Stromal,2
Cell_409,0.4859325,0.21453473,-0.6165278,1.3105824,0.11469793,0.9732692,-1.6397266,-0.4881174,1.9081584,1.9880555,Stromal,2
Cell_410,0.20417589,-0.6842448,-0.56334853,1.5741327,-1.1032754,-0.093245,0.58857393,-0.14429227,-0.02248028,2.032497,Stromal,2
Cell_411,0.90637875,1.1338656,-0.48611367,-0.32832575,0.689283,-0.95768994,0.4112306,-0.14910361,-0.6515176,2.1279097,Stromal,2
Cell_412,0.44849062,-0.2840605,-0.65314955,-0.77151316,-0.40480843,-0.02034992,0.6659516,0.883459,0.44752032,2.0820518,Stromal,2
Cell_413,-0.37138397,-0.98864734,-0.656478,0.0018987581,0.14827764,0.0044826567,0.080911726,0.16872194,-0.66952705,2.1191149,Stromal,2
Cell_414,0.02916497,0.20196895,-0.65584266,-1.3966304,-0.0077783465,-0.18231958,0.20701829,1.854955,0.14742649,2.1072824,Stromal,2
Cell_415,1.6871152,-1.1314257,-0.91281515,-0.36288032,0.5587595,-1.4193616,-0.6897843,1.6299908,0.82340074,2.1703002,Stromal,2
Cell_416,0.69021696,2.022495,-0.49675286,0.7420724,1.1200094,0.07149398,0.2100458,-0.4495225,-0.40981218,2.1567223,Stromal,2
Cell_417,1.2980392,0.34091645,-0.700783,-1.0424696,-1.9324946,-0.08762096,-0.49117273,-0.7781417,-0.17360729,2.1045017,Stromal,2
Cell_418,0.82522905,-0.22163777,-0.6368078,-1.6689594,0.82073,0.2686897,0.5498029,-0.1044858,0.6273966,2.0211458,Stromal,2
Cell_419,1.311219,1.1091608,-0.55251217,-0.9954681,-0.014566079,-0.4485008,-1.1270797,0.78814626,0.6168124,2.1356947,Stromal,2
Cell_420,0.92194563,-0.7050009,-0.7649838,-0.25332248,1.2850121,-0.43285692,1.1953735,0.47179005,-1.2892512,2.109297,Stromal,2
Cell_421,-0.5675619,0.20563652,-0.57344574,0.04956228,-0.47107345,0.12236336,1.9230568,0.47755527,-0.52437794,2.100082,Stromal,2
Cell_422,1.159697,0.06296548,-0.86645275,-0.7697644,0.2695913,0.13124782,0.3942366,0.21736762,0.583412,1.9427397,Stromal,2
Cell_423,1.3651234,-2.525126,-0.72595763,0.65990555,1.0357761,-0.21374777,0.7547734,0.67452556,0.39978704,2.1207223,Stromal,2
Cell_424,0.1127283,-1.5376872,-0.50057024,-0.16649917,1.0766356,-0.7244838,2.2434218,-0.3022434,-0.25348026,2.0592437,Stromal,2
Cell_425,1.0765138,-0.34815,-0.2542548,1.301623,0.24668512,0.91973025,0.73596644,-2.6147802,0.22908404,2.1595578,Stromal,2
Cell_426,0.54086274,1.107363,-0.44592714,-1.2302583,0.39444035,0.88826346,0.045503914,0.8971201,-1.3180453,2.1077814,Stromal,2
Cell_427,0.308458,0.49167636,-0.67130363,1.111968,0.32317537,-0.10383339,0.4568145,0.9974884,1.0354772,2.0584426,Stromal,2
Cell_428,-0.007891178,-0.3743462,-0.4910248,-1.070771,0.3194117,-0.630652,-0.21841308,1.238969,0.35448006,2.0341735,Stromal,2
Cell_429,0.43520075,-1.3481165,-0.53887457,1.8177134,-1.213828,0.29789796,0.51155055,0.69440675,0.61167055,2.1466963,Stromal,2
Cell_430,0.68004215,0.43886924,-0.6609374,-0.06425272,1.5318031,-1.0516133,-0.089374125,-0.20886679,0.8795532,2.0633218,Stromal,2
Cell_431,-0.84722775,0.65529853,-0.48431373,-0.21554106,0.21442437,-1.3597574,-1.2950864,0.20680174,0.4459109,1.9653678,Stromal,2
Cell_432,1.3075707,-0.25708187,-0.40250805,0.23322506,-0.11382522,-0.4525349,0.8065126,0.8810048,0.03991598,2.0609396,Stromal,2
Cell_433,0.45212802,-0.48668194,-0.5943097,-1.6214917,-1.0925989,-0.2978332,-1.4927566,-0.4295666,1.065387,2.1391308,Stromal,2
Cell_434,1.7406241,-0.69243056,-0.529376,0.3134999,-0.5715413,-0.07174386,-0.94777644,-0.52718073,0.37382796,2.0625381,Stromal,2
Cell_435,0.20823354,-0.42426834,-0.61639947,-0.6274678,-0.35545486,-1.0114605,-0.40688196,0.18679374,1.0593908,1.963402,Stromal,2
Cell_436,0.6111216,3.5444806,-0.42797622,-0.30000892,-0.14705898,-0.5936279,0.08308789,-0.61904365,-0.13214883,2.0948818,Stromal,2
Cell_437,1.4066429,0.5825486,-0.5989475,-1.1114438,-0.23349442,-1.0492003,-0.8476616,0.96869487,-0.058903575,2.2474685,Stromal,2
Cell_438,1.0884469,0.93278205,-0.57299405,-0.061679076,-0.6153806,0.2894025,-0.0155008435,-1.0727997,-0.72634935,2.0544028,Stromal,2
Cell_439,0.46185812,-0.38094372,-0.5864861,0.12428916,1.1425105,-1.1747825,0.45874527,-0.28370747,0.06544182,2.1932325,Stromal,2
Cell_440,0.87598234,-1.3175529,-0.63959664,0.97180235,-0.34725925,-0.58012116,0.26216418,0.75255984,-1.0117816,2.096754,Stromal,2
Cell_441,0.21228689,-0.99270064,-0.6181487,-0.38485363,0.70240414,-1.3122624,-0.014236778,0.59273994,1.6377741,2.054292,Stromal,2
Cell_442,0.15186763,1.2505379,-0.5549137,1.6018839,-0.05867728,0.4298636,0.6730288,-0.7433374,-0.18724075,1.9836508,Stromal,2
Cell_443,0.6370793,-1.2949111,-0.5379892,-0.55720675,-1.2640544,-0.35365176,0.52472764,1.3440229,0.49265528,1.9047414,Stromal,2
Cell_444,0.43632331,-0.40384766,-0.7483667,-0.58303356,0.080480345,-0.10117206,1.6814181,-0.38415498,1.9649215,2.0424514,Stromal,2
Cell_445,-0.50896424,-1.1236156,-0.66844356,-1.6678975,-1.8282771,-0.71872437,-0.66703105,0.2644616,-0.4962716,2.0783389,Stromal,2
Cell_446,1.0715187,0.46700543,-0.6031535,0.9812951,0.015017033,0.32122996,1.9137218,0.52335787,0.5592979,2.186104,Stromal,2
Cell_447,0.07893294,-0.14633998,-0.7742418,-1.5020936,-2.10531,-0.14568396,-0.12704468,-0.7345232,1.0356584,2.154602,Stromal,2
Cell_448,0.23749775,-0.82740074,-0.523229,-0.43735582,-1.849857,0.06209132,-0.14665425,0.55878574,0.971611,2.1351836,Stromal,2
Cell_449,1.2815976,-2.0886073,-0.45544457,-1.3334575,-1.4548912,-0.15752955,-0.67159903,-0.069445156,0.05607623,2.1541994,Stromal,2
Cell_450,1.0753099,-0.49647558,-0.603047,-0.27885243,0.26382115,0.5066844,-0.553866,-1.0940316,1.0885054,2.1286285,Stromal,2
Cell_451,1.3404595,0.19562833,-0.72719324,0.82808954,0.17683673,0.06814653,0.43946847,-0.7412465,0.9943569,2.283548,Stromal,2
Cell_452,0.57373506,1.1413887,-0.52126443,-0.34423107,-0.95642245,-1.4557496,-0.031451404,-0.12714405,1.3924373,2.1055589,Stromal,2
Cell_453,0.2662465,-1.1924231,-0.5055367,-0.60546476,-0.09377294,-0.23275882,-2.4353127,0.38347128,-0.07732567,2.130175,Stromal,2
Cell_454,-0.38993502,0.06162054,-0.5788912,-0.29103485,-0.24338499,0.10253914,1.8546587,-0.97660124,1.7365518,2.1076956,Stromal,2
Cell_455,-0.035756886,2.1148758,-0.45892954,-0.87483525,0.64396954,-0.5976624,-0.21005595,-0.39100087,-0.27003053,2.026154,Stromal,2
Cell_456,0.6804261,-0.28481954,-0.6287435,1.3019884,0.53637457,-0.6443863,0.7832321,-0.3565189,0.30246654,1.9508935,Stromal,2
Cell_457,0.46889353,0.638711,-0.81031406,-0.651311,-0.36634865,-1.8680832,1.2333559,0.18069318,0.21833141,2.1814072,Stromal,2
Cell_458,0.004120469,0.3912956,-0.60698926,0.28981566,0.30984873,-0.44858265,1.127966,2.028507,-0.03222552,2.1056364,Stromal,2
Cell_459,0.8860059,0.5781428,-0.3905508,-0.81333834,-0.7060528,-1.0157661,-0.7042916,0.79858136,1.581728,2.0389488,Stromal,2
Cell_460,0.50403595,0.0895286,-0.4527256,-0.16769303,0.10282898,-0.8387346,0.4402334,0.45357695,1.3600682,2.070432,Stromal,2
Cell_461,0.67815477,1.693206,-0.71378386,0.37583026,0.96048903,-1.078189,0.42653358,0.19761612,0.45454788,2.047681,Stromal,2
Cell_462,1.2679665,0.25175083,-0.6015918,-0.82066154,0.863191,-1.5644983,-0.9537865,0.6131498,0.006647408,2.1843271,Stromal,2
Cell_463,1.6699208,-0.18171634,-0.67449486,-0.61493945,-0.6477203,1.1963037,1.5346761,1.0436469,1.6687037,2.178883,Stromal,2
Cell_464,1.5945733,-1.0262673,-0.42475957,-0.61909735,-0.93454516,0.4314872,0.39381397,0.14070931,0.64111745,1.9389839,Stromal,2
Cell_465,0.8741495,0.36963934,-0.5944586,-0.3787189,-0.54887724,0.14509758,1.039464,1.4022481,0.94018877,2.2280633,Stromal,2
Cell_466,0.37829638,-1.8732061,-0.6573658,-1.4740099,-0.6188463,-1.1060872,2.169271,-0.7371136,0.68283224,2.0553255,Stromal,2
Cell_467,0.6447142,1.7353139,-0.34319103,0.16580763,1.0398455,-0.18900551,1.1855135,-0.47246417,-0.30716047,2.1122212,Stromal,2
Cell_468,0.7526258,0.48506892,-0.6313125,0.47570252,-0.37244573,0.27998307,0.03805989,-1.0752062,-0.2695952,1.9132066,Stromal,2
Cell_469,0.86856234,-1.3188335,-0.66509706,-0.29815367,1.5209094,0.4198784,1.7246299,-0.15013665,1.1317117,2.0356774,Stromal,2
Cell_470,0.7068355,-0.89667916,-0.79900146,-0.043432787,0.2408523,-1.3670955,0.4943828,0.34797987,0.119015634,2.0887325,Stromal,2
Cell_471,0.74426645,0.641539,-0.81329817,0.45298463,-1.0789964,-1.0496184,0.66733795,1.3878502,0.8455881,2.1696146,Stromal,2
Cell_472,1.1425114,-1.050034,-0.44447145,-1.4708706,-0.8780688,0.1964153,0.8079674,0.70249194,0.9928615,2.1471038,Stromal,2
Cell_473,0.6362866,-1.5282289,-0.43260866,0.9259694,-0.36793107,0.2655988,1.5699337,0.5249371,1.0222962,1.9962406,Stromal,2
Cell_474,-0.029551327,-0.23098737,-0.48585057,0.92750347,1.034776,-0.24880466,0.9897151,0.895646,-0.03835386,1.9969066,Stromal,2
Cell_475,0.7584665,0.1629158,-0.79631203,1.0987251,0.6956786,0.8809889,1.0581605,-0.9597433,1.3236765,2.0856962,Stromal,2
Cell_476,0.49603975,2.1401818,-0.6376159,-0.07603866,-0.79772997,0.26595005,1.2085929,-0.42492312,-0.9953147,1.989607,Stromal,2
Cell_477,0.7855642,3.468427,-0.6092916,-0.1605329,0.017851189,-0.4511391,0.7455585,0.1955384,0.6649004,1.9543973,Stromal,2
Cell_478,-0.081018865,0.9704995,-0.49715415,1.0277935,-0.71125066,-0.8590621,1.786661,-0.28975677,-0.2239629,2.1207263,Stromal,2
Cell_479,0.67484593,0.7041372,-0.5770462,0.7010539,-0.7325736,-0.11773506,-1.230573,-0.44079614,-0.68004537,2.1975963,Stromal,2
Cell_480,0.19106871,1.9656279,-0.5695485,0.24918658,0.029573396,0.5776086,-1.1492448,-0.22089222,-0.51164675,2.0860972,Stromal,2
Cell_481,1.7833605,-1.5746869,-0.4700961,-0.4814161,0.44872236,-0.98107845,-0.34651983,-0.3699598,0.6140733,2.176738,Stromal,2
Cell_482,0.23418275,-0.37831235,-0.6121396,-1.1000453,-0.11206204,-0.7856276,0.4647912,-0.6138853,0.2284029,2.0970798,Stromal,2
Cell_483,0.5481653,2.0692463,-0.67880183,-1.773124,-0.49967593,-1.2542567,0.8399547,1.0293983,0.70128644,2.0408115,Stromal,2
Cell_484,2.2943497,0.3532216,-0.4012531,-0.5278693,0.037180036,-0.54707956,1.1026864,0.8921277,-0.60863495,2.124437,Stromal,2
Cell_485,0.37006927,1.7545255,-0.44971853,0.15893912,-0.83609873,-0.61270565,-0.046173483,-0.8026272,0.7414642,2.1357665,Stromal,2
Cell_486,1.4441247,0.6861359,-0.71393424,0.8877288,0.28289157,0.15142477,2.517236,1.7515571,-1.080322,2.2539911,Stromal,2
Cell_487,-0.10156131,0.12846002,-0.5254731,0.989735,0.80053097,-0.68139136,1.6792469,1.177777,-0.16376758,2.2210746,Stromal,2
Cell_488,0.22777963,1.3174322,-0.5889531,1.6507193,0.009948865,-0.112727195,-0.7594299,0.49187207,-0.18616015,2.1700025,Stromal,2
Cell_489,1.044842,-0.24162805,-0.52717227,0.53767586,-1.6504731,-1.6336689,-0.61362386,0.20776978,-0.55507076,1.8693452,Stromal,2
Cell_490,0.60263944,-0.5721942,-0.83710647,-1.2082877,-0.2232383,-0.85863656,0.74439067,0.46040413,0.03700158,2.1732593,Stromal,2
Cell_491,-0.8861857,-0.025623038,-0.5277709,-0.8229933,0.1771177,0.021947503,1.1596231,0.9972212,0.2587592,2.0796554,Stromal,2
Cell_492,0.22769102,1.3806748,-0.5588312,-1.43451,-0.016102016,1.35789,2.2554777,0.56294054,-0.08484155,2.166011,Stromal,2
Cell_493,2.0028827,-0.31763124,-0.6806313,-1.4574921,-0.07982418,1.3746744,-0.2705604,1.7429283,-0.026651591,2.1314182,Stromal,2
Cell_494,-0.15938157,-0.10403684,-0.6828033,-1.1400094,0.27855635,-0.6648519,0.678414,1.4772449,0.48852253,2.0908818,Stromal,2
Cell_495,0.5428828,1.5322217,-0.5664704,1.7556801,-0.3151641,-0.3828651,-0.6838674,0.6446065,-0.74764276,2.0081816,Stromal,2
Cell_496,1.0627383,-0.8409716,-0.69081926,0.16165002,0.5733238,0.57491004,-0.13439777,-1.0558578,1.0127082,2.131866,Stromal,2
Cell_497,-0.1795798,1.307986,-0.28406173,-0.97300833,0.5616852,0.024573326,1.3419998,-1.7400211,1.3529704,2.1779122,Stromal,2
Cell_498,1.4333693,1.2905772,-0.4604943,1.6087834,-0.23167843,0.010919601,0.79654914,0.3353591,1.4229283,2.2121606,Stromal,2
Cell_499,1.5885192,-0.042846173,-0.54963404,-1.358919,0.9320895,-0.6015948,1.1914836,1.0009791,-0.37290418,2.1204503,Stromal,2
